"year","make","model","mileage","normalized_color","transmission","sold_price","bid_amount","end_date","bidders","watchers","comments","status"
"1959","Ferrari","250GT Series I Pinin Farina Coupe","2","Gray","null","null","406000","2017-01-03 05:00:00","11","0","251","unsold"
"1998","Ferrari","F355 Spider 6-Speed","29000","Red","manual","59500","59500","2019-07-12 04:00:00","33","1149","58","sold"
"2000","Ferrari","360 Modena 6-Speed","19000","Black","manual","95600","95600","2017-06-01 04:00:00","29","525","211","sold"
"1972","Ferrari","Dino 246 GT","26000","Blue","automatic","380000","380000","2019-11-27 05:00:00","26","2475","347","sold"
"2008","Ferrari","612 Scaglietti","9300","Blue","automatic","null","77000","2019-08-28 04:00:00","9","724","50","unsold"
"1991","Ferrari","Testarossa","51000","Red","manual","null","63500","2019-10-22 04:00:00","15","864","72","unsold"
"1967","Ferrari","330GT 2+2","500","Black","manual","140000","140000","2019-07-09 04:00:00","26","1505","143","sold"
"1997","Ferrari","550 Maranello","13000","Red","manual","128997","128997","2019-08-09 04:00:00","22","960","68","sold"
"2002","Ferrari","575M Maranello","12000","Blue","automatic","90000","90000","2019-09-26 04:00:00","41","649","41","sold"
"1999","BMW","540i 6-Speed","125000","Black","manual","10250","10250","2024-10-12 04:00:00","60","477","38","sold"
"1988","BMW","M3 Track Car","146000","Silver","manual","35250","35250","2023-04-04 04:00:00","7","781","53","sold"
"2003","BMW","M5","65000","Silver","manual","40500","40500","2023-04-04 04:00:00","10","816","41","sold"
"2011","BMW","M3 Coupe Competition Package 6-Speed","52000","White","manual","38750","38750","2023-04-03 04:00:00","35","869","57","sold"
"1979","Ferrari","308 GT4","56000","Black","manual","48000","48000","2019-09-11 04:00:00","24","892","124","sold"
"2016","Porsche","Cayenne","57000","Blue","automatic","28000","28000","2024-03-10 05:00:00","12","360","15","sold"
"1991","BMW","318is 5-Speed","115000","Red","manual","34000","34000","2023-04-14 04:00:00","30","717","144","sold"
"2004","BMW","325Ci Convertible","55000","Silver","automatic","9800","9800","2023-04-14 04:00:00","40","336","16","sold"
"1984","BMW","323i Baur TC 5-Speed","128000","Gray","manual","null","18500","2023-04-14 04:00:00","45","580","78","unsold"
"1986","Ferrari","Testarossa","1000","Red","manual","100500","100500","2021-03-16 04:00:00","29","1875","61","sold"
"2006","BMW","M6 Coupe","58000","Silver","automatic","17669","17669","2023-04-14 04:00:00","24","381","51","sold"
"1966","BMW","R50/2","8000","Black","manual","30000","30000","2023-04-14 04:00:00","28","565","65","sold"
"1993","BMW","850Ci","65000","Black","automatic","18027","18027","2024-05-30 04:00:00","13","735","27","sold"
"2002","BMW","M3 Coupe 6-Speed","101000","Blue","manual","31250","31250","2023-04-14 04:00:00","51","872","87","sold"
"1959","BMW","Isetta 300","12000","Red","manual","26750","26750","2023-04-14 04:00:00","29","587","25","sold"
"1991","BMW","325i Convertible M-Technic II","71000","White","automatic","26750","26750","2023-04-14 04:00:00","28","462","75","sold"
"2011","BMW","M3 Coupe","21000","White","automatic","null","39999","2022-09-01 04:00:00","22","518","21","unsold"
"1996","Porsche","911 Carrera 4S Coupe 6-Speed","69000","Black","manual","null","127000","2025-01-10 05:00:00","27","1645","64","unsold"
"2010","Ferrari","California","6000","Red","automatic","98023","98023","2022-12-30 05:00:00","53","1183","76","sold"
"2004","BMW","M3 Convertible 6-Speed","107000","Black","manual","18250","18250","2023-04-13 04:00:00","44","647","34","sold"
"2007","BMW","335i Convertible Sport","18000","Silver","automatic","20500","20500","2023-04-13 04:00:00","5","333","21","sold"
"2007","BMW","760Li","39000","Black","automatic","21140","21140","2023-04-13 04:00:00","37","536","65","sold"
"2003","BMW","330Ci Convertible 5-Speed","85000","Blue","manual","15000","15000","2023-04-13 04:00:00","26","586","43","sold"
"2018","BMW","M240i xDrive Convertible","28000","Orange","automatic","36750","36750","2023-04-13 04:00:00","14","278","14","sold"
"2004","BMW","M3 Convertible 6-Speed","98000","Black","manual","20001","20001","2023-04-13 04:00:00","33","593","45","sold"
"1974","BMW","2002tii","79000","Blue","manual","null","23500","2023-04-13 04:00:00","29","1097","59","unsold"
"1985","BMW","320i 5-Speed","74000","White","manual","17000","17000","2022-09-20 04:00:00","14","576","61","sold"
"2022","BMW","M5 CS","106","Green","automatic","165000","165000","2022-08-18 04:00:00","13","627","71","sold"
"1975","BMW","2002 Baur Cabriolet","5300","Yellow","manual","null","34000","2022-08-14 04:00:00","34","873","80","unsold"
